Campaign_ID,Campaign_Name,Type,Objective,Start_Date,End_Date,Status,Budget,Actual_Spend,Leads_Collected,Sales_Generated,Owner,Notes
CAMP-001,BNI Confluence 2026,Corporate,Lead generation & corporate gifting partnerships,2026-07-24,2026-07-26,Completed,,,24,,Team Gudoria,Major BNI event. 24 leads collected. Krishnanath ordered 6pc box + jackfruit.
CAMP-002,Recca Fest,Exhibition,Direct sales & brand awareness,2026-03-08,2026-03-08,Completed,,,25,13770,Team Gudoria,Exhibition sales. 25+ customers. GPay and Cash payments.
CAMP-003,Kochi OnFleak Exhibition,Exhibition,Brand awareness & sampling,2026-01-18,2026-01-19,Completed,,,,27470,Team Gudoria,"Major exhibition. Sold 7 six-piece boxes, 14 eight-piece boxes, and individual bars."
CAMP-004,Green Health Summit,Exhibition,Health-conscious audience targeting,2025-10-31,2025-10-31,Completed,,,,5000,Team Gudoria,Sold assorted bars. GPay + Cash payments.
CAMP-005,Prestige & DD Apartment Exhibition,Exhibition,Retail sales in residential community,2025-09-07,2025-09-08,Completed,,,,7380,Team Gudoria,Two-day exhibition. Cash + GPay. Discounted pricing at venue.
CAMP-006,Pink Market Pop-up,Physical,Retail sales & brand visibility,2025-08-29,2025-08-29,Completed,,,,18948,Team Gudoria,"Total gpay 13102, J&B 1920, cash 3926. Transferred from Bindu account."
CAMP-007,Transasia Cyberpark Tasting,Corporate,B2B sampling & corporate orders,2025-02-05,2025-02-06,Completed,,,,5000,Team Gudoria,5-6 Feb 2025. Multiple transactions. Current A/c payments.
CAMP-008,Kimchi Fest,Exhibition,Festival sales & sampling,2026-04-12,2026-04-12,Completed,,,,15560,Team Gudoria,Gpay 12850 + Cash 2710. To be deposited by Bindu.
CAMP-009,Kulam Fest,Exhibition,Festival retail sales,2026-03-21,2026-03-21,Completed,,,,6600,Team Gudoria,Cash to be deposited for Kulam 2980.
CAMP-010,Nemcon Event,Exhibition,Celebrity & corporate networking,2026-03-20,2026-03-22,Completed,,,3,15000,Team Gudoria,"Actor Vijay Babu, Chef Nalan, Mathrubhumi Head Mrs. Mini. Multiple invoices."
